Ligand,Binding Affinity,rmsd/ub, rmsd/lb
cleaned7SFB_1983_mmff94_E=-12.22,-5.4,0.0,0.0
cleaned7SFB_1983_mmff94_E=-12.22,-5.2,2.051,1.447
cleaned7SFB_1983_mmff94_E=-12.22,-5.0,3.014,2.665
cleaned7SFB_1983_mmff94_E=-12.22,-4.8,5.086,3.654
cleaned7SFB_1983_mmff94_E=-12.22,-4.7,5.636,5.033
cleaned7SFB_1983_mmff94_E=-12.22,-4.6,4.964,4.205
cleaned7SFB_1983_mmff94_E=-12.22,-4.5,6.658,2.967
cleaned7SFB_1983_mmff94_E=-12.22,-4.4,4.138,3.827
cleaned7SFB_1983_mmff94_E=-12.22,-4.3,7.004,4.211
cleaned7SFB_2244_mmff94_E=20.42,-5.1,0.0,0.0
cleaned7SFB_2244_mmff94_E=20.42,-5.1,2.11,1.756
cleaned7SFB_2244_mmff94_E=20.42,-5.0,4.482,2.651
cleaned7SFB_2244_mmff94_E=20.42,-4.9,3.819,2.316
cleaned7SFB_2244_mmff94_E=20.42,-4.8,3.782,2.082
cleaned7SFB_2244_mmff94_E=20.42,-4.8,4.727,2.514
cleaned7SFB_2244_mmff94_E=20.42,-4.6,6.71,5.392
cleaned7SFB_2244_mmff94_E=20.42,-4.5,3.642,1.957
cleaned7SFB_2244_mmff94_E=20.42,-4.5,3.649,2.399
cleaned7SFB_3033_mmff94_E=57.55,-6.3,0.0,0.0
cleaned7SFB_3033_mmff94_E=57.55,-6.3,6.092,4.152
cleaned7SFB_3033_mmff94_E=57.55,-6.2,2.298,1.178
cleaned7SFB_3033_mmff94_E=57.55,-6.2,6.227,4.148
cleaned7SFB_3033_mmff94_E=57.55,-6.1,5.468,2.783
cleaned7SFB_3033_mmff94_E=57.55,-6.1,5.594,2.804
cleaned7SFB_3033_mmff94_E=57.55,-6.1,6.349,3.333
cleaned7SFB_3033_mmff94_E=57.55,-6.1,6.207,3.307
cleaned7SFB_3033_mmff94_E=57.55,-6.1,6.666,3.361
cleaned7SFB_3672_mmff94_E=25.84,-6.4,0.0,0.0
cleaned7SFB_3672_mmff94_E=25.84,-6.1,7.181,5.502
cleaned7SFB_3672_mmff94_E=25.84,-5.9,2.124,1.106
cleaned7SFB_3672_mmff94_E=25.84,-5.8,6.124,3.164
cleaned7SFB_3672_mmff94_E=25.84,-5.7,6.913,5.664
cleaned7SFB_3672_mmff94_E=25.84,-5.5,2.34,1.304
cleaned7SFB_3672_mmff94_E=25.84,-5.5,6.846,5.877
cleaned7SFB_3672_mmff94_E=25.84,-5.4,4.358,2.832
cleaned7SFB_3672_mmff94_E=25.84,-5.2,6.315,4.507
cleaned7SFB_156391_mmff94_E=36.30,-7.0,0.0,0.0
cleaned7SFB_156391_mmff94_E=36.30,-6.6,1.998,0.788
cleaned7SFB_156391_mmff94_E=36.30,-6.6,6.657,4.589
cleaned7SFB_156391_mmff94_E=36.30,-6.3,5.949,2.144
cleaned7SFB_156391_mmff94_E=36.30,-6.0,6.3,5.205
cleaned7SFB_156391_mmff94_E=36.30,-6.0,6.587,1.293
cleaned7SFB_156391_mmff94_E=36.30,-5.9,6.185,5.185
cleaned7SFB_156391_mmff94_E=36.30,-5.8,5.306,4.046
cleaned7SFB_156391_mmff94_E=36.30,-5.7,4.714,4.119
